ID,Name,Surname,BirthDay,PhoneNumber,Classes,Salary
1,Denis,Vitek,13.05.1987,79666052249,philosophy,24933 
2,Lina,Kushnir,29.03.1990,79445535398,history,26211 
3,Dima,Morozov,24.07.1967,79488093010,physical culture,13760 
4,Denis,Zinchenko,14.03.1976,79145980737,philosophy,36780 
5,Pasha,Kaleeva,14.03.1976,79440666764,geography,10810 
6,Igor,Kaleeva,29.03.1990,79959491171,geography,38255 
7,Sonya,Krasota,27.05.1997,79911628125,philosophy,42526 
8,Pasha,Fomenko,20.05.1984,79829833547,literature,24481 
9,Pasha,Krasota,20.05.1984,79226288348,literature,18621 
10,Dima,Vitek,27.05.1997,79254927865,english language,28755 
11,Roma,Ivanov,01.02.1985,79181978707,physical culture,15960 
12,Lina,Zinchenko,27.05.1997,79830379942,mathematics,21000 
13,Natasha,Fomenko,29.03.1990,79409572039,mathematics,31313 
14,Roma,Krasota,30.01.1993,79584789529,literature,23492 
15,Igor,Usenko,14.03.1976,79779686688,philosophy,35263 
16,Roma,Morozov,27.05.1997,79384630958,physical culture,14032 
17,Anna,Zinchenko,24.07.1967,79029672888,social studies,45916 
18,Natasha,Nebozenko,01.02.1985,79953340599,informatics,16201 
19,Sonya,Ivanov,20.05.1984,79392806175,mathematics,12397 
20,Pasha,Nebozenko,01.02.1985,79199420814,history,48538 
21,Kate,Fomenko,24.07.1967,79471433045,english language,10392 
22,Natasha,Petrenko,01.02.1985,79563470496,mathematics,25525 
23,Anna,Usenko,14.03.1976,79895337917,philosophy,12691 
24,Pasha,Zinchenko,13.05.1987,79468105235,mathematics,47555 
25,Lina,Ivanov,12.02.1987,79802069373,social studies,13844 
26,Lina,Fomenko,14.03.1997,79789496990,geography,23040 
27,Lana,Morozov,27.05.1997,79793709268,physical culture,13989 
28,Natasha,Kaleeva,30.01.1993,79966704714,mathematics,40669 
29,Lina,Krasota,29.03.1990,79469291355,social studies,21709 
30,Anna,Nebozenko,01.02.1985,79480486928,informatics,44684 
31,Roma,Usenko,12.02.1987,79549659689,mathematics,30709 
32,Denis,Zinchenko,29.03.1990,79363609033,history,31536 
33,Lina,Zinchenko,29.03.1990,79822298067,literature,12482 
34,Sonya,Kaleeva,29.03.1990,79014655942,literature,23689 
35,Anna,Kushnir,24.06.1990,79445571662,social studies,27088 
36,Sonya,Ivanov,29.03.1990,79421898153,informatics,47156 
37,Pasha,Petrenko,14.03.1997,79116422488,english language,37512 
38,Denis,Fomenko,24.07.1967,79709716712,informatics,12802 
39,Dima,Zinchenko,12.02.1987,79140104928,social studies,44846 
40,Dima,Fomenko,14.03.1997,79253393864,history,26932 
41,Igor,Morozov,14.03.1997,79701447814,philosophy,22708 
42,Kate,Fomenko,01.02.1985,79705796892,literature,22636 
43,Denis,Fomenko,12.02.1987,79848140474,philosophy,19751 
44,Anna,Kushnir,27.05.1997,79003013410,history,46234 
45,Denis,Ivanov,01.02.1985,79959756815,social studies,29649 
46,Natasha,Ivanov,29.03.1990,79486860269,english language,44747 
47,Anna,Usenko,12.02.1987,79489761979,mathematics,49394 
48,Anna,Zinchenko,30.01.1993,79367838383,geography,12549 
49,Dima,Nebozenko,20.05.1984,79237530176,informatics,43515 
50,Igor,Ivanov,01.02.1985,79033890256,physical culture,24385 
